century,th.domain,targ.word,oth.words
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,church,1
15,bussines,non-church,1
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,church,1
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,church,1
15,bussines,church,1
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
15,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
16,bussines,non-church,0
